wandb_id,run name,loss variation,w_comp,w_diss,w_pen
7vopygcj,he0128,3,0.1,10.0,1.0 >> /home/bibit/dair_pll/logs/train_he0128.txt
5u06mrjq,he0129,1,0.1,10.0,10.0 >> /home/bibit/dair_pll/logs/train_he0129.txt
s9djyi3j,he0130,2,0.1,10.0,10.0 >> /home/bibit/dair_pll/logs/train_he0130.txt
a3g3u4yr,he0131,3,0.1,10.0,10.0 >> /home/bibit/dair_pll/logs/train_he0131.txt
46ydaxta,he0132,1,0.1,10.0,100.0 >> /home/bibit/dair_pll/logs/train_he0132.txt
5hid0p4j,he0133,2,0.1,10.0,100.0 >> /home/bibit/dair_pll/logs/train_he0133.txt
4pbp0drp,he0134,3,0.1,10.0,100.0 >> /home/bibit/dair_pll/logs/train_he0134.txt
hctylsnw,he0135,1,0.1,100.0,0.01 >> /home/bibit/dair_pll/logs/train_he0135.txt
xp7nynir,he0136,2,0.1,100.0,0.01 >> /home/bibit/dair_pll/logs/train_he0136.txt
ditc7ubf,he0137,3,0.1,100.0,0.01 >> /home/bibit/dair_pll/logs/train_he0137.txt
zenjgvgb,he0138,1,0.1,100.0,0.1 >> /home/bibit/dair_pll/logs/train_he0138.txt
6914rz4w,he0139,2,0.1,100.0,0.1 >> /home/bibit/dair_pll/logs/train_he0139.txt
aiii3tbf,he0140,3,0.1,100.0,0.1 >> /home/bibit/dair_pll/logs/train_he0140.txt
wyhxoa3i,he0141,1,0.1,100.0,1.0 >> /home/bibit/dair_pll/logs/train_he0141.txt
sswyu5mx,he0142,2,0.1,100.0,1.0 >> /home/bibit/dair_pll/logs/train_he0142.txt
7pnfe7mk,he0143,3,0.1,100.0,1.0 >> /home/bibit/dair_pll/logs/train_he0143.txt
405xvbvf,he0144,1,0.1,100.0,10.0 >> /home/bibit/dair_pll/logs/train_he0144.txt
7lajs6wf,he0145,2,0.1,100.0,10.0 >> /home/bibit/dair_pll/logs/train_he0145.txt
oyf4oncp,he0146,3,0.1,100.0,10.0 >> /home/bibit/dair_pll/logs/train_he0146.txt
wvfs4t54,he0147,1,0.1,100.0,100.0 >> /home/bibit/dair_pll/logs/train_he0147.txt
50bn94ps,he0148,2,0.1,100.0,100.0 >> /home/bibit/dair_pll/logs/train_he0148.txt
bjzolbcx,he0149,3,0.1,100.0,100.0 >> /home/bibit/dair_pll/logs/train_he0149.txt
li3tm6z1,he0150,1,1.0,0.01,0.01 >> /home/bibit/dair_pll/logs/train_he0150.txt
xjvrvfuw,he0151,2,1.0,0.01,0.01 >> /home/bibit/dair_pll/logs/train_he0151.txt
0d2rmw5m,he0152,3,1.0,0.01,0.01 >> /home/bibit/dair_pll/logs/train_he0152.txt
o3m3ttkd,he0153,1,1.0,0.01,0.1 >> /home/bibit/dair_pll/logs/train_he0153.txt
egm4gd2s,he0154,2,1.0,0.01,0.1 >> /home/bibit/dair_pll/logs/train_he0154.txt
sgc0v7ip,he0155,3,1.0,0.01,0.1 >> /home/bibit/dair_pll/logs/train_he0155.txt
ab4scub9,he0156,1,1.0,0.01,1.0 >> /home/bibit/dair_pll/logs/train_he0156.txt
9dgq4iyt,he0157,2,1.0,0.01,1.0 >> /home/bibit/dair_pll/logs/train_he0157.txt
y7cr3bil,he0158,3,1.0,0.01,1.0 >> /home/bibit/dair_pll/logs/train_he0158.txt
k88rvt94,he0159,1,1.0,0.01,10.0 >> /home/bibit/dair_pll/logs/train_he0159.txt
28p3gaj3,he0160,2,1.0,0.01,10.0 >> /home/bibit/dair_pll/logs/train_he0160.txt
7sxp2rjo,he0161,3,1.0,0.01,10.0 >> /home/bibit/dair_pll/logs/train_he0161.txt
1bdf8f6q,he0162,1,1.0,0.01,100.0 >> /home/bibit/dair_pll/logs/train_he0162.txt
o6ih6q3i,he0163,2,1.0,0.01,100.0 >> /home/bibit/dair_pll/logs/train_he0163.txt
mymrlwya,he0164,3,1.0,0.01,100.0 >> /home/bibit/dair_pll/logs/train_he0164.txt
ebyloidl,he0165,1,1.0,0.1,0.01 >> /home/bibit/dair_pll/logs/train_he0165.txt
6wj9v6vq,he0166,2,1.0,0.1,0.01 >> /home/bibit/dair_pll/logs/train_he0166.txt
gwiu44j6,he0167,3,1.0,0.1,0.01 >> /home/bibit/dair_pll/logs/train_he0167.txt
snrp6rk2,he0168,1,1.0,0.1,0.1 >> /home/bibit/dair_pll/logs/train_he0168.txt
ey5hq520,he0169,2,1.0,0.1,0.1 >> /home/bibit/dair_pll/logs/train_he0169.txt
iphwwdki,he0170,3,1.0,0.1,0.1 >> /home/bibit/dair_pll/logs/train_he0170.txt
jyv0mloe,he0171,1,1.0,0.1,1.0 >> /home/bibit/dair_pll/logs/train_he0171.txt
35zd9qz8,he0172,2,1.0,0.1,1.0 >> /home/bibit/dair_pll/logs/train_he0172.txt
id11gpf7,he0173,3,1.0,0.1,1.0 >> /home/bibit/dair_pll/logs/train_he0173.txt
7lmqqzdi,he0174,1,1.0,0.1,10.0 >> /home/bibit/dair_pll/logs/train_he0174.txt
757l7h1a,he0175,2,1.0,0.1,10.0 >> /home/bibit/dair_pll/logs/train_he0175.txt
gmlc2uhg,he0176,3,1.0,0.1,10.0 >> /home/bibit/dair_pll/logs/train_he0176.txt
vrf20ox2,he0177,1,1.0,0.1,100.0 >> /home/bibit/dair_pll/logs/train_he0177.txt
n5kir5ne,he0178,2,1.0,0.1,100.0 >> /home/bibit/dair_pll/logs/train_he0178.txt
y3lyjgja,he0179,3,1.0,0.1,100.0 >> /home/bibit/dair_pll/logs/train_he0179.txt
qduwidha,he0180,1,1.0,1.0,0.01 >> /home/bibit/dair_pll/logs/train_he0180.txt
ts96scb4,he0181,2,1.0,1.0,0.01 >> /home/bibit/dair_pll/logs/train_he0181.txt
bvfyrk8b,he0182,3,1.0,1.0,0.01 >> /home/bibit/dair_pll/logs/train_he0182.txt
4n0njc6o,he0183,1,1.0,1.0,0.1 >> /home/bibit/dair_pll/logs/train_he0183.txt
bbkuutx3,he0184,2,1.0,1.0,0.1 >> /home/bibit/dair_pll/logs/train_he0184.txt
036obvjr,he0185,3,1.0,1.0,0.1 >> /home/bibit/dair_pll/logs/train_he0185.txt
7wgs7tj4,he0186,1,1.0,1.0,10.0 >> /home/bibit/dair_pll/logs/train_he0186.txt
285iyj5c,he0187,2,1.0,1.0,10.0 >> /home/bibit/dair_pll/logs/train_he0187.txt
yr4mz2fr,he0188,3,1.0,1.0,10.0 >> /home/bibit/dair_pll/logs/train_he0188.txt
in5n4cvb,he0189,1,1.0,1.0,100.0 >> /home/bibit/dair_pll/logs/train_he0189.txt
