wandb_id,run name,loss variation,w_comp,w_diss,w_pen,best valid MSE
0v5p46r4,he0241,2,10.0,0.1,0.1,10631.602565021658
xddezj3f,he0242,3,10.0,0.1,0.1,11726.821701600988
pt00j4dg,he0243,1,10.0,0.1,1.0,5465.641435641583
j2dqt5zz,he0244,2,10.0,0.1,1.0,10199.707478747578
kg6nfk9u,he0245,3,10.0,0.1,1.0,8120.279293499797
kpetfup5,he0246,1,10.0,0.1,10.0,4596.073066389843
ui3i573g,he0247,2,10.0,0.1,10.0,14333.959423209453
38171tjb,he0248,3,10.0,0.1,10.0,15287.630810248298
f3ut230t,he0249,1,10.0,0.1,100.0,3752.378461956444
mhq9gik2,he0250,2,10.0,0.1,100.0,11334.727186647462
ttndo357,he0251,3,10.0,0.1,100.0,11874.802021400323
iit30so3,he0252,1,10.0,1.0,0.01,6574.074278577251
vk37f1fb,he0253,2,10.0,1.0,0.01,11152.225736414886
3ajwhapn,he0254,3,10.0,1.0,0.01,14087.968363546892
nx3x397m,he0255,1,10.0,1.0,0.1,5921.10938181766
zjo0g2kf,he0256,2,10.0,1.0,0.1,11386.326792815747
rgymk1lu,he0257,3,10.0,1.0,0.1,12663.22317762159
3f5f6x4x,he0258,1,10.0,1.0,1.0,3101.0540243635014
2vqvlcaf,he0259,2,10.0,1.0,1.0,11217.166557978375
rijv4t1s,he0260,3,10.0,1.0,1.0,22395.469967050478
an1frz80,he0261,1,10.0,1.0,10.0,5110.39776565639
wkbxr3gk,he0262,2,10.0,1.0,10.0,11354.435930552623
k6nz7itn,he0263,3,10.0,1.0,10.0,8249.072066045966
2lehejta,he0264,1,10.0,1.0,100.0,13074.389734107233
pcvcqo5k,he0265,2,10.0,1.0,100.0,11694.424789434735
yqt29e0j,he0266,3,10.0,1.0,100.0,11082.177854232268
uwxehgqw,he0267,1,10.0,10.0,0.01,8802.654449889393
3txbkolv,he0268,2,10.0,10.0,0.01,10518.588118020574
fh1bfv00,he0269,3,10.0,10.0,0.01,8660.847896393632
v6bzik0j,he0270,1,10.0,10.0,0.1,3665.5623982962184
n5qud1sz,he0271,2,10.0,10.0,0.1,13401.76256316029
rruyt9fa,he0272,3,10.0,10.0,0.1,5915.868249605739
xkj27f1f,he0273,1,10.0,10.0,1.0,9293.576719113154
k2pnqehi,he0274,2,10.0,10.0,1.0,13975.384957512939
08cck4bl,he0275,3,10.0,10.0,1.0,10038.889748034508
h882ff5u,he0276,1,10.0,10.0,10.0,6870.46942102231
uw1fnh5b,he0277,2,10.0,10.0,10.0,16239.385803914563
oz5p52r4,he0278,3,10.0,10.0,10.0,20725.78193196334
0kjrqzm4,he0279,1,10.0,10.0,100.0,5001.080772142019
7nk7ufo8,he0280,2,10.0,10.0,100.0,11666.833863119638
t2a8j3ks,he0281,3,10.0,10.0,100.0,10709.894471357164
ut09ifmx,he0282,1,10.0,100.0,0.01,8495.94827544089
1cnchtf4,he0283,2,10.0,100.0,0.01,15062.968022539368
6ftnsvsd,he0284,3,10.0,100.0,0.01,18780.778174911262
pxv87z1j,he0285,1,10.0,100.0,0.1,5931.969609972711
yigkmgzm,he0286,2,10.0,100.0,0.1,10806.138540086271
als56h84,he0287,3,10.0,100.0,0.1,6422.339277186288
6hcj7rvk,he0288,1,10.0,100.0,1.0,10452.425144468321
3fjsrmy2,he0289,2,10.0,100.0,1.0,11747.022465409067
byzmvhgt,he0290,3,10.0,100.0,1.0,10355.307404725081
qkorr6p2,he0291,1,10.0,100.0,10.0,6956.207465216323
c3okv6gm,he0292,2,10.0,100.0,10.0,10300.224645616698
o9uzjcp6,he0293,3,10.0,100.0,10.0,10458.16704799188
5doldbc8,he0294,1,10.0,100.0,100.0,11850.826366915315
091mtzam,he0295,2,10.0,100.0,100.0,11399.58931115828
8i7mew1v,he0296,3,10.0,100.0,100.0,11183.539894862712
8cdoxrn9,he0297,1,100.0,0.01,0.01,8852.564541331365
rsc0xkma,he0298,2,100.0,0.01,0.01,14185.029201627214
7f1nfp8b,he0299,3,100.0,0.01,0.01,11285.808177897985
rhmwat0b,he0300,1,100.0,0.01,0.1,2814.0855123032898
1ep1f2jr,he0301,2,100.0,0.01,0.1,13751.934878437503
mb6nhung,he0302,3,100.0,0.01,0.1,10832.588421788398
838zro7b,he0303,1,100.0,0.01,1.0,3130.658417338608
tnq6l750,he0304,2,100.0,0.01,1.0,14572.420094099312
aj0cmt1e,he0305,3,100.0,0.01,1.0,11404.710965194501
wwpm20n7,he0306,1,100.0,0.01,10.0,3162.9890830436
qn46yg2n,he0307,2,100.0,0.01,10.0,14175.725815498281
ur72nrrx,he0308,3,100.0,0.01,10.0,10714.536674957022
dlmkahz0,he0309,1,100.0,0.01,100.0,4034.8217668091647
vp0lds6k,he0310,2,100.0,0.01,100.0,6706.379673618996
s6x4s4y8,he0311,3,100.0,0.01,100.0,22029.441469766214
480rvazq,he0312,1,100.0,0.1,0.01,3208.6497183377915
vsb996pa,he0313,2,100.0,0.1,0.01,11647.088262401552
rwojm3is,he0314,3,100.0,0.1,0.01,11897.911380846814
ku9wzanl,he0315,1,100.0,0.1,0.1,8024.847814133487
3te6my2q,he0316,2,100.0,0.1,0.1,11252.149490563643
q47vrwhh,he0317,3,100.0,0.1,0.1,11050.148146804617
zwb5fwuv,he0318,1,100.0,0.1,1.0,8242.16966854879
xb9zi8dv,he0319,2,100.0,0.1,1.0,14409.42810447503
5t8o99ff,he0320,3,100.0,0.1,1.0,15605.936355971562
fvg4zuzx,he0321,1,100.0,0.1,10.0,3882.1687924128737
k76ncoeg,he0322,2,100.0,0.1,10.0,12453.445678510474
2ccnl1qv,he0323,3,100.0,0.1,10.0,11977.796298693924
f0dd5qxr,he0324,1,100.0,0.1,100.0,3947.0607475545025
lux5k3gd,he0325,2,100.0,0.1,100.0,13478.474416711355
nrcd5gyi,he0326,3,100.0,0.1,100.0,12889.611131626076
3vny036k,he0327,1,100.0,1.0,0.01,4115.246490755392
12ydmcuo,he0328,2,100.0,1.0,0.01,13460.837788825243
xw5i85ob,he0329,3,100.0,1.0,0.01,11764.949907515156
9i0oc7nb,he0330,1,100.0,1.0,0.1,3375.2311841396454
yay77ukf,he0331,2,100.0,1.0,0.1,9763.185835952487
81wh1l5b,he0332,3,100.0,1.0,0.1,11670.16430756991
8dkyeqwx,he0333,1,100.0,1.0,1.0,3152.8204193604806
ogk0mdi2,he0334,2,100.0,1.0,1.0,11103.818734432469
27km94rx,he0335,3,100.0,1.0,1.0,11304.995188019351
t1wc78o3,he0336,1,100.0,1.0,10.0,9469.208304070775
expzly3n,he0337,2,100.0,1.0,10.0,13687.931739487729
tx3a2gls,he0338,3,100.0,1.0,10.0,9990.967403620198
me1kpd3y,he0339,1,100.0,1.0,100.0,10570.889124933554
gy6oq0rf,he0340,2,100.0,1.0,100.0,11335.762733932315
4idepwfw,he0341,3,100.0,1.0,100.0,16843.88829619336
3cw6zgvr,he0342,1,100.0,10.0,0.01,11458.87862039989
4mjr16o8,he0343,2,100.0,10.0,0.01,10547.80629045699
dhoz9x35,he0344,3,100.0,10.0,0.01,12212.839299144332
9dh3v2av,he0345,1,100.0,10.0,0.1,2895.12693712193
t5lbq66c,he0346,2,100.0,10.0,0.1,14991.470678370351
me0kgx6s,he0347,3,100.0,10.0,0.1,10680.28606579305
vor38ye2,he0348,1,100.0,10.0,1.0,6980.456839094246
